"Open";"High";"Low";"Close";"Volume";"Day"
"2009-05-05";0.446780605762531;0.463835155592935;0.428857142857143;0.443416666666667;32678800;2009-05-05
"2009-05-06";0.443955767780849;0.459310402896476;0.428770491803279;0.445469343461747;38501400;2009-05-06
"2009-05-07";0.446340757882557;0.456034161104432;0.418224481814627;0.436572580645161;70598650;2009-05-07
"2009-05-08";0.433890577507599;0.442622950819672;0.424068542681968;0.430869565217391;36270000;2009-05-08
"2009-05-12";0.437102515899364;0.459017710132123;0.410653570079335;0.435038167938931;65523250;2009-05-12
"2009-05-13";0.432981927710843;0.489511635529335;0.389468215385757;0.431422036438205;91123000;2009-05-13
"2009-05-14";0.42772397094431;0.462812601493992;0.400763358778626;0.436262471220261;71319500;2009-05-14
"2009-05-15";0.439954682779456;0.466135458167331;0.414527333131984;0.441758068954672;68221300;2009-05-15
"2009-05-18";0.404440272619679;0.430198228595529;0.380714681879407;0.404238336592569;75419850;2009-05-18
"2009-05-19";0.404707076226533;0.427628865979381;0.382101167315175;0.401582112442991;54938650;2009-05-19
"2009-05-20";0.40233635448137;0.415882667104885;0.381630820875132;0.396489578435982;46193650;2009-05-20
"2009-05-21";0.397216699801193;0.418147606104955;0.362824547600315;0.384727242511114;48942850;2009-05-21
"2009-05-22";0.386332798815838;0.396241320527213;0.369129916567342;0.382;38539950;2009-05-22
"2009-05-25";0.383591836734694;0.401931961360773;0.368061727397592;0.385985066053992;25951600;2009-05-25
"2009-05-26";0.386114644454475;0.411503267973856;0.367650075909893;0.388581488933602;54336400;2009-05-26
"2009-05-27";0.389049586776859;0.393983705870065;0.375541922290389;0.384360777823748;29257100;2009-05-27
"2009-05-28";0.38052284306356;0.40492320639596;0.360831683168317;0.377479720504377;42429500;2009-05-28
"2009-05-29";0.374245393963152;0.392434988179669;0.367620889748549;0.378380469687004;60556650;2009-05-29
"2009-06-01";0.381073973855711;0.396648907420276;0.369813432835821;0.383397132777903;94727200;2009-06-01
"2009-06-02";0.384765478424015;0.402474840427615;0.364419475655431;0.380792010219487;59148950;2009-06-02
"2009-06-03";0.383800238911795;0.403238866396761;0.360638707195075;0.380566801619433;36708050;2009-06-03
"2009-06-04";0.381461384684427;0.406061855670103;0.363955666562598;0.384966464261618;48596200;2009-06-04
"2009-06-05";0.383298311152619;0.39912629070691;0.370084811102544;0.384712620975706;30863300;2009-06-05
"2009-06-08";0.389984400623975;0.406160164271047;0.37350868212781;0.39301327398458;28389650;2009-06-08
"2009-06-09";0.388072056446845;0.408523567088192;0.381176470588235;0.401473899692938;25518000;2009-06-09
"2009-06-10";0.403022974607013;0.408122448979592;0.39272;0.399271255060729;22097250;2009-06-10
"2009-06-11";0.39870879781859;0.417622950819672;0.379263565891473;0.396277429467085;43480250;2009-06-11
"2009-06-15";0.399808092115784;0.426033755274262;0.390031771247021;0.418649789029536;35742400;2009-06-15
